spanish_headword,part_of_speech,german_support,simple_spanish_definition,story_example,story_reference,story_word,story_word_in,deck_tag
diamante,Substantiv,Diamant,Piedra preciosa muy dura y brillante.,Fischer mostró tres diamantes famosos.,Geschichten 3 und 5,YES,"3,5",STORY_WORD
dibujante,Substantiv,Zeichner / Zeichnerin,Persona que trabaja haciendo dibujos.,Angus trabajaba como dibujante.,Geschichte 4,NO,,GLOSSARY
disfraz,Substantiv,Kostüm / Verkleidung,Ropa o apariencia usada para parecer otra persona o personaje.,El mejor disfraz de Flambeau era su papel social.,Geschichten 2–3,YES,"2,3",STORY_WORD
escaparate,Substantiv,Schaufenster,"Parte de una tienda, normalmente de cristal, donde se muestran productos.",La amenaza apareció pegada al escaparate.,Geschichte 4,NO,,GLOSSARY
escenario,Substantiv,Bühne,Lugar donde se representa una obra o espectáculo.,El vestíbulo se convirtió en un pequeño escenario.,Geschichte 3,YES,3,STORY_WORD
espectáculo,Substantiv,Vorstellung / Aufführung,Actuación preparada para un público.,La pantomima era un espectáculo de Navidad.,Geschichte 3,YES,3,STORY_WORD
exclusivo / exclusiva,Adjektiv,exklusiv,Reservado para pocas personas o para un grupo selecto.,El Vernon Hotel era muy exclusivo.,Geschichte 2,YES,2,STORY_WORD
guardarropa,Substantiv,Garderobe,Lugar donde se guardan abrigos y otras prendas temporalmente.,Brown esperó cerca del guardarropa.,Geschichte 2,YES,2,STORY_WORD
halo,Substantiv,Heiligenschein,Círculo de luz representado alrededor de la cabeza de una figura sagrada.,Faltaba el oro del halo.,Geschichte 5,NO,,GLOSSARY
honesto / honesta,Adjektiv,ehrlich,Que no engaña y toma solo lo que considera suyo.,"Israel Gow era extraño, pero extremadamente honesto.",Geschichte 5,YES,5,STORY_WORD
huella,Substantiv,Fußspur / Spur,Marca que deja un pie o un zapato sobre una superficie.,Había huellas en la nieve.,Geschichte 4,YES,4,STORY_WORD
invento,Substantiv,Erfindung,Objeto o sistema nuevo creado por una persona.,Las máquinas de Smythe eran su gran invento.,Geschichte 4,NO,,GLOSSARY
invitado / invitada,Substantiv,Gast,"Persona que ha sido invitada a una casa, evento o comida.",Los invitados pensaban que Flambeau era un camarero.,Geschichten 2–3,NO,,GLOSSARY
joya,Substantiv,Schmuckstück / Juwel,Objeto valioso que suele llevar piedras preciosas o metales nobles.,Las joyas falsas cubrían el traje de Arlequín.,Geschichte 3,YES,3,STORY_WORD
ladrón / ladrona,Substantiv,Dieb / Diebin,Persona que roba.,Flambeau había sido un ladrón famoso.,Geschichten 1–3,YES,1,STORY_WORD
mecanismo,Substantiv,Mechanismus,Conjunto de piezas que hacen funcionar una máquina.,Las figuras mecánicas funcionaban con mecanismos.,Geschichte 4,NO,,GLOSSARY
mina de lápiz,Nominalphrase,Bleistiftmine,Parte central del lápiz que deja la marca al escribir.,Había minas de lápiz sin sus estuches.,Geschichte 5,NO,,GLOSSARY
montura,Substantiv,Fassung,Parte que sostiene una piedra preciosa dentro de una joya.,"Los diamantes estaban allí, pero faltaban sus monturas de oro.",Geschichte 5,NO,,GLOSSARY
oro,Substantiv,Gold,Metal amarillo muy valioso.,Gow tomó solo el oro.,Geschichte 5,YES,5,STORY_WORD
padrino,Substantiv,Pate,Hombre que tiene una relación especial con una persona por bautismo o tradición familiar.,Sir Leopold Fischer era el padrino de Ruby.,Geschichte 3,YES,3,STORY_WORD
paquete,Substantiv,Paket,Objeto envuelto o preparado para transportar.,El padre Brown cambió los paquetes para proteger la cruz.,Geschichte 1,YES,1,STORY_WORD
pantomima,Substantiv,Pantomime / komische Bühnenaufführung,"En esta historia, espectáculo casero con disfraces, bromas físicas y personajes exagerados.",Blount organizó una pantomima de Navidad.,Geschichte 3,NO,,GLOSSARY
paraguas,Substantiv,Regenschirm,Objeto que protege de la lluvia.,El padre Brown viajaba con su paraguas.,Geschichte 1,YES,1,STORY_WORD
pasillo,Substantiv,Flur / Gang,Espacio largo que conecta habitaciones o zonas de un edificio.,Brown escuchó los pasos en el pasillo.,Geschichte 2,YES,2,STORY_WORD
payaso,Substantiv,Clown,Personaje cómico que hace bromas y movimientos exagerados.,John Crook interpretó al payaso.,Geschichte 3,YES,3,STORY_WORD
perla,Substantiv,Perle,Pequeña esfera brillante formada dentro de ciertos moluscos y usada en joyería.,Los cubiertos de plata llevaban perlas en los mangos.,Geschichte 2,NO,,GLOSSARY
pista,Substantiv,Hinweis,Dato que ayuda a descubrir la solución de un misterio.,Las huellas eran una pista importante.,Alle Geschichten,YES,1,STORY_WORD
plata,Substantiv,Silber,Metal blanco brillante y valioso.,Flambeau robó los cubiertos de plata.,Geschichte 2,YES,2,STORY_WORD
policía,Substantiv,Polizist / Polizistin; Polizei je nach Kontext,Persona encargada de mantener el orden y hacer cumplir la ley.,Un policía real entró durante la pantomima.,Geschichten 3–4,NO,,GLOSSARY
portero,Substantiv,Pförtner,Persona que controla o atiende la entrada de un edificio.,El portero vigilaba Himylaya Mansions.,Geschichte 4,YES,4,STORY_WORD
posada,Substantiv,Gasthaus,Lugar pequeño donde los viajeros pueden comer y dormir.,El padre de Laura tenía una posada.,Geschichte 4,NO,,GLOSSARY
rapé,Substantiv,Schnupftabak,Tabaco en polvo que se usaba antiguamente de una manera especial.,"Encontraron rapé, pero no su caja de oro.",Geschichte 5,NO,,GLOSSARY
reloj,Substantiv,Uhr,Objeto que sirve para medir y mostrar la hora.,"Quedaban los mecanismos, pero faltaban las cajas de los relojes.",Geschichte 5,NO,,GLOSSARY
saco,Substantiv,großer Sack,Bolsa grande y resistente.,Brown preguntó por un saco grande.,Geschichte 4,YES,4,STORY_WORD
sacerdote,Substantiv,Priester,Hombre que realiza funciones religiosas en una iglesia.,El padre Brown era sacerdote.,Alle Geschichten,YES,1,STORY_WORD
sello,Substantiv,Briefmarke,Pequeño papel usado para pagar el envío de una carta o documento postal.,La tira de papel estaba relacionada con sellos.,Geschichte 4,NO,,GLOSSARY
sirviente,Substantiv,Diener,Persona que trabaja al servicio de otra persona o casa.,Israel Gow era el único sirviente del conde.,Geschichte 5,YES,5,STORY_WORD
sospechar,Verb,verdächtigen / vermuten,Pensar que una persona puede ser responsable de algo malo sin tener todavía una prueba completa.,Fischer sospechó de Crook.,Geschichten 3–4,YES,1,STORY_WORD
tabaco,Substantiv,Tabak,Planta y producto usado tradicionalmente para fumar o preparar rapé.,"El tabaco quedó, pero la caja desapareció.",Geschichte 5,NO,,GLOSSARY
tumba,Substantiv,Grab,Lugar donde se entierra un cuerpo.,Brown pidió abrir la tumba del conde.,Geschichte 5,YES,5,STORY_WORD
vigilar,Verb,bewachen / beobachten,Observar un lugar o una persona para saber qué ocurre.,Cuatro personas vigilaban la entrada.,Geschichte 4,YES,4,STORY_WORD
zafiro,Substantiv,Saphir,"Piedra preciosa, normalmente azul.",La cruz llevaba piedras azules de gran valor.,Geschichte 1,YES,1,STORY_WORD
